"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"SOX11",84.7196035969463,-1.68922735438182,0.359632516980419,-4.69709293410137,2.63890402300551e-06,0.00119258545583072
"P3H2",1416.58396259866,-1.39022283146455,0.296451820150047,-4.68954054915533,2.73819170944401e-06,0.00121454014490006
"AC008132.1",37.2991346482647,-1.41826852861703,0.30442669050098,-4.65881794491493,3.18030307408692e-06,0.00137810606713392
"ALDH1A2",239.126169819414,-1.20817975217227,0.259481318205607,-4.65613386168685,3.2220248730586e-06,0.00137810606713392
"UCHL1",800.500040322986,-1.56038303520822,0.336119382140402,-4.64234768394412,3.44472564709488e-06,0.00144750997717924
"TNFAIP3",2176.40085916652,0.913196511196944,0.197328583753045,4.62779640855174,3.69577062660185e-06,0.00150529690154504
"C6orf132",232.576550154909,-1.33686528076647,0.288919798811627,-4.6271155049436,3.70793742448051e-06,0.00150529690154504
"CD5L",141.28865709379,2.08477884662455,0.451022901412853,4.62233478631322,3.79444985948085e-06,0.00151474438390476
"TP53TG3F",27.2052899671603,2.69921452011505,0.584396605185754,4.61880595500222,3.8595457376338e-06,0.00151547277881647
"XIRP1",67.5828799350044,1.70113492736968,0.370102560804607,4.59638788683707,4.29878107143074e-06,0.00166071619714369
"CSPG4P12",933.073664985112,-1.09855421248182,0.240036827677751,-4.57660694448364,4.72578171906946e-06,0.00179387728696121
"GCH1",638.702926498795,0.900211588922939,0.196826122905183,4.57363878145687,4.7932592837975e-06,0.00179387728696121
"MMP13",751.987100449809,-1.94199569614497,0.425561853003522,-4.56336883214223,5.03392649260813e-06,0.00185496319001461
"LCE5A",19.8192598873068,-3.81869006385331,0.839631512108891,-4.54805472255556,5.4144058525058e-06,0.00196493710574574
"SNX29P2",1184.99415820091,1.10897769327079,0.244391341166807,4.53771270281571,5.68676611637517e-06,0.0020151532758898
"JPH4",102.290260081536,-1.34757498774947,0.297055297836346,-4.53644488943564,5.72104303442329e-06,0.0020151532758898
"MCTP2",1230.18333496206,1.23422432326774,0.272943184384359,4.52190929790612,6.12843209061638e-06,0.00212736529615136
"ADGRG5",131.386148977315,1.39901560758762,0.310040269834359,4.51236740419255,6.4108012653409e-06,0.00214739074374157
"CXCL9",4796.75139480135,1.54834696526911,0.343160380432548,4.51202135665383,6.42127207256127e-06,0.00214739074374157
"KRT10",8499.23530454867,-1.64742978439717,0.365405047296879,-4.50850308878926,6.528661883467e-06,0.00214739074374157
"PPP1R16B",655.336108165252,1.03332348337089,0.229220892849171,4.50798123385212,6.54473631818365e-06,0.00214739074374157
"C4A",1489.65539235434,1.34476489200884,0.298872856406717,4.49945474532767,6.81279806917425e-06,0.00218016645742544
"APOC4-APOC2",87.99678539852,2.41669073469833,0.537159106455116,4.499022181057,6.82667352650752e-06,0.00218016645742544
"CXCL10",2367.53731282379,1.40890700254156,0.3137949763317,4.48989661661206,7.12577501318037e-06,0.00223513170352575
"CIITA",9806.88990151931,0.973329206627208,0.216926934281555,4.48689882540772,7.22673710073949e-06,0.00223513170352575
"APOC2",3328.72896449472,1.7560816109541,0.391513170153251,4.48537046727372,7.27873550747364e-06,0.00223513170352575
"APOL6",3986.12068448728,0.840160655415861,0.188010175184875,4.46869779568958,7.86972214413333e-06,0.00238602006071243
"RORB",63.9995520478809,-1.4765233973122,0.330766183620204,-4.46394906864964,8.04626984486979e-06,0.00240905319155401
"IL37",11.2171897631113,-2.49760356739477,0.560081841167405,-4.45935465822083,8.22067962681928e-06,0.00243088541261204
"IL20RB",135.54715278617,-1.30155191764478,0.292212275831366,-4.45413155194034,8.42334442864901e-06,0.00246043836286587
"ADORA2A",78.5954141600975,1.50873906576915,0.33943068829376,4.44491060414494,8.79284220396773e-06,0.00249698314541971
"EDN3",1471.15992141651,-3.36693145233417,0.757737984719259,-4.44339800858949,8.85491416225015e-06,0.00249698314541971
"GBP1",10803.9103832945,1.10417249979404,0.248505861662275,4.44324529171322,8.86120438212571e-06,0.00249698314541971
"CORO2B",1563.64726865512,-1.3745664727368,0.309540854844103,-4.44066252071664,8.96823447227707e-06,0.00249775758232535
"GBP1P1",318.366473006504,1.23889097370413,0.279774872936174,4.42817098155474,9.503555240728e-06,0.00261642707041284
"CD83",1356.75156342001,0.787251449953488,0.178390644396146,4.41307587972644,1.01912257346009e-05,0.00277386634994502
"SDK1",608.567691302611,-1.35104363650119,0.306757827576962,-4.40426784598424,1.06141737321364e-05,0.0028021698044
"SPRR2E",131.102479039804,-4.05775489839518,0.922157606653308,-4.40028349722297,1.08109543896714e-05,0.0028021698044
"HAPLN1",103.655641232702,-2.52108066922066,0.573052520781562,-4.3993884989499,1.08556335831413e-05,0.0028021698044
"CD8B",216.883728389852,1.38669264608464,0.315381755727935,4.3968702085636,1.09822970116604e-05,0.0028021698044
"GRIK3",713.915998766386,-2.11133447123498,0.480248150843524,-4.39634065748418,1.10091110106453e-05,0.0028021698044
"IL4I1",427.244648533561,1.05608009170175,0.240229434493129,4.39613111494861,1.10197385185892e-05,0.0028021698044
"SORCS2",384.35573086122,-1.27793527451783,0.29081802942021,-4.39427802005807,1.11141504433033e-05,0.0028021698044
"CEP126",676.763854078966,-1.08482802611388,0.247422653045696,-4.38451375716807,1.16245136858526e-05,0.00290031616462022
"MAP4K1",394.810863044205,0.902059321465824,0.205898121757184,4.3810954357788,1.18084132228706e-05,0.0029158259125175
"GDPD2",37.0376032703549,-1.1976139217184,0.273662595466919,-4.37624264900012,1.20742596708787e-05,0.00292440229061402
"TBX21",83.711488448428,1.19133205056596,0.272360171339361,4.37410523244811,1.21931554179456e-05,0.00292440229061402
"SPRR2D",44.3462497365097,-2.8360897377364,0.648424826342225,-4.37381423801249,1.22094284010272e-05,0.00292440229061402
"HLA-DPA1",1392.35122495917,1.1017893731656,0.252865632940782,4.35721280251488,1.31729178931122e-05,0.00309793090967245
"GLT1D1",80.8942021799564,1.27164726722306,0.291870674997598,4.35688603260168,1.31925915492063e-05,0.00309793090967245
"SLC22A31",17.055490170276,-2.0465064976967,0.470265157543933,-4.35181400294474,1.35015780170376e-05,0.00313970676372897
"SYTL5",454.73192048733,-2.16287380462701,0.498071111808639,-4.34250000320837,1.40870483482497e-05,0.00324435559651228
"SERPINB7",82.2394906359118,-2.36698042893348,0.546628601209103,-4.33014376433632,1.49012025849262e-05,0.00336951818707019
"EXOC3L4",36.5148583601209,1.34946277360524,0.311655206847278,4.3299862924046,1.49118623843287e-05,0.00336951818707019
"PRPF38AP2",13.9216475279748,2.1462250842275,0.496330527302734,4.32418512697774,1.53096696064225e-05,0.00342707669544889
"GPAT2",235.314645236853,-1.37177928161663,0.318021680758968,-4.31347723948517,1.60706691518706e-05,0.00356411729190375
"ANKRD30A",32.637915976923,-2.41295545952682,0.561140075834028,-4.30009468837246,1.70725147573288e-05,0.00375156764649118
"TSPAN11",296.433729312912,-1.18641059558505,0.276955705430926,-4.28375574981951,1.8376464310246e-05,0.00395982191585765
"PMCHL1",4.13231128478106,-1.77443972160611,0.41425397439912,-4.28345853333081,1.84010405401059e-05,0.00395982191585765
"LIPK",15.1619381052707,-2.65960210754011,0.62110184748844,-4.28207083636089,1.85162013433558e-05,0.00395982191585765
"ELMOD1",51.4094432693005,-1.44864489677499,0.338631354785297,-4.27794082356453,1.88630148070332e-05,0.00399829142175274
"CD22",1133.09653554166,1.39177069617194,0.326016009275832,4.26902562013269,1.9632871988948e-05,0.00406882301618924
"PLA2G4E",80.7122618008589,-1.82166047442309,0.427042288791366,-4.26576131272346,1.99221681558626e-05,0.00406882301618924
"TACSTD2",269.827767230269,-1.79229577019836,0.42016836241731,-4.26566093621838,1.99311279423896e-05,0.00406882301618924
"KCNJ2",386.066044866825,0.850521694688981,0.199437935594154,4.26459335409362,2.00266599772269e-05,0.00406882301618924
"CD244",135.517966709783,1.03069334254752,0.241792960890138,4.26271029046139,2.01962287111897e-05,0.00406882301618924
"SLCO4A1",1238.34051277395,1.24978506238102,0.2932045249912,4.26250264186246,2.02150108102254e-05,0.00406882301618924
"TRAV19",28.4460074756627,1.55201674797717,0.364624938490909,4.25647448690858,2.07675723066567e-05,0.00414520743240868
"TBC1D3J",9.04741215936169,3.17796633677634,0.751081023547727,4.23118976134589,2.32458452439568e-05,0.00457083335075244
"AL136295.4",17.8361452267673,2.51170882707838,0.59366617116022,4.23084377903776,2.32816327985888e-05,0.00457083335075244
"TNNC2",36.1429427740186,1.72328192085632,0.40781560245269,4.22563999634181,2.38262642451489e-05,0.00463972911544558
"BTN3A2",7270.36787184875,0.627716939657862,0.148795419455755,4.21865768418037,2.45761066730124e-05,0.00474715247606446
"COL17A1",1621.97820264207,-1.90279449668318,0.451668794417527,-4.21280929787729,2.52213996569025e-05,0.00477088773201821
"TRGV10",44.1056602485407,1.2899517641578,0.306228978002802,4.2123765444105,2.52697833434676e-05,0.00477088773201821
"CYSRT1",29.1798323987432,-1.18313142505074,0.280886226585096,-4.21213755987535,2.52965406632562e-05,0.00477088773201821
"TESC",328.059394920048,-1.35012680512047,0.321199856657329,-4.20338545344014,2.62952247309798e-05,0.0049204939277846
"CNPY4",826.756573463195,-0.411784180324874,0.0981658524173865,-4.19478026405791,2.73136242064218e-05,0.0050412049103927
"MAGEB10",7.10395128413978,-1.5051305925467,0.35907911042348,-4.19164064089284,2.76944423121987e-05,0.0050412049103927
"CCDC188",31.9259011105267,-1.02687903455835,0.245076578319274,-4.19003334223388,2.78913467574396e-05,0.0050412049103927
"PCDH15",169.119183139682,-1.71509775642837,0.409504746758752,-4.1882243612643,2.81145504736329e-05,0.0050412049103927
"CCL27",68.708073572378,-1.48400702547274,0.354335480361844,-4.18814120436734,2.81248516239277e-05,0.0050412049103927
"IL12RB1",398.085625443195,0.95157233255458,0.227240599962152,4.18751021038085,2.82031336837267e-05,0.0050412049103927
"KLK6",102.043673121741,-2.64128067503024,0.631072788094935,-4.18538197947603,2.84686955800973e-05,0.00505097923358882
"JAKMIP1",93.7640774348442,1.21163131360217,0.289819461076616,4.1806416625758,2.90687646074433e-05,0.00511952242556973
"CCL5",1573.55682248254,1.1420730721249,0.273447593016567,4.17657021415327,2.95937422071717e-05,0.00517393659376771
"CDC14C",13.7188049932391,-1.21747717999733,0.291658851025149,-4.17431933136275,2.98878292066302e-05,0.00518267163209387
"TCL1B",4.23319182675178,2.39821696029283,0.574745920844009,4.17265590466666,3.01069452348498e-05,0.00518267163209387
"MTND2P28",6174.45507626183,1.23645798069835,0.296423586295574,4.17125369863597,3.02928368609361e-05,0.00518267163209387
"EREG",71.904058141265,-1.39308564745183,0.334377332757682,-4.16620838488886,3.09707622043583e-05,0.00526107586041695
"B3GNT5",609.022872728293,-0.917659316107897,0.220498678764071,-4.16174519163342,3.1582464614471e-05,0.0053272055806043
"ADGRL3",694.70216229158,-1.34272610389135,0.323021119542099,-4.15677496813442,3.22771635635059e-05,0.00536921617742008
"SLC24A2",499.475585905722,-1.20946516633284,0.290963721709286,-4.15675589804718,3.22798567780766e-05,0.00536921617742008
"ISG20",1005.52223940686,1.03906185016658,0.250190097861214,4.15308942699633,3.28016475993294e-05,0.00541837974689061
"GBP4",4103.20550622983,1.17070991411315,0.282024156717599,4.1510980042941,3.30884031422836e-05,0.00542831117852038
"CACNA1G",72.5703447925682,-1.16165849814968,0.280220500267406,-4.14551575292008,3.39049688938457e-05,0.00552443411527478
"SLC37A4",532.865037267966,0.55748385244963,0.134552529441034,4.14324319851555,3.42428474582303e-05,0.0055417883940509
"TRAJ13",43.5537719027257,1.50356338145805,0.363440563154476,4.1370268866191,3.51834897172661e-05,0.00564069437794228
"MYL10",22.9150253246036,-1.85039182993321,0.447375399149098,-4.13610545741368,3.53249898418229e-05,0.00564069437794228
"IRX4",12.2131094659058,-2.6490547751816,0.644381082658574,-4.11100643155474,3.9393822614532e-05,0.00624576311037165
"TMEM100",90.7832985669334,-1.60607463373344,0.390871781829646,-4.10895518273411,3.97453190823695e-05,0.00624576311037165
"CD274",523.259585952901,1.0260724200453,0.249769457478195,4.10807802685353,3.98965328944081e-05,0.00624576311037165
"TNIP3",99.5768720031669,1.11453014037687,0.272166356601077,4.09503273768135,4.22108737694688e-05,0.00656516135406699
"APOL1",1775.3325439585,0.861415832893281,0.210557842468361,4.09111255508195,4.29308697881777e-05,0.00662667122663844
"TRIM29",431.618206743625,-2.38336978836496,0.58274812773799,-4.08987978668642,4.31596823378255e-05,0.00662667122663844
"UGT2B15",206.030903290437,12.5075015594136,3.06846075017096,4.07614845935922,4.57877918241585e-05,0.00698540885205251
"RP1",62.0984460678646,-1.31198596322008,0.322240215062048,-4.07145322618239,4.67207446650637e-05,0.00708262833049117
"GPR174",498.781964741591,1.19978764948527,0.29487741569374,4.06876751365513,4.72624762986836e-05,0.00711969076922056
"MLLT11",694.966655198871,-0.917854909717064,0.225840775736171,-4.06416824740855,4.82040467424427e-05,0.00721614579734366
"KRT80",184.405266056104,-1.75900391095775,0.433418767402704,-4.05843965063792,4.94016961854364e-05,0.00734949954679238
"IFNW1",2.49283494554453,-1.41575539775432,0.349104230913902,-4.05539455665745,5.00497467658344e-05,0.00739994774404484
"ARHGAP40",32.4407393129753,-2.16141945025518,0.533750755617483,-4.04949206630104,5.13289178448418e-05,0.00750913158188682
"ASPHD1",240.869402470199,-1.0877054062824,0.26862900874317,-4.04909883475143,5.14152296020974e-05,0.00750913158188682
"MAMDC2",614.437383652896,-1.34413049466708,0.332297650688386,-4.04495936664791,5.23322000237682e-05,0.00759673245435937
"AL157871.3",152.888100725411,1.11622071619159,0.276366725993918,4.03891138550505,5.36998460462708e-05,0.00774830549698963
"THBS3",2094.4098676485,-0.58898942148416,0.146002259210889,-4.03411169571979,5.48092436682019e-05,0.0078285271487846
"DSG3",325.370283432547,-2.21457556831262,0.549020800066518,-4.03368245437023,5.49095090596114e-05,0.0078285271487846
"SOAT2",22.7256895402344,-1.46764469106612,0.364594105091875,-4.02542079142033,5.68735224193068e-05,0.00806055981649252
"PARP14",13690.6376749901,0.650644814697841,0.162246776028394,4.01021721740698,6.066291417965e-05,0.00854704776724104
"BNIPL",164.925099205411,-1.18129642255506,0.294982196804055,-4.00463633179783,6.21129616122732e-05,0.00870017343004191
"MFAP2",1471.17452608414,-0.997120379290021,0.249776878189149,-3.99204436583169,6.55061131638143e-05,0.00912024493113335
"PKP3",106.571426126993,-1.70782850289706,0.4279638385179,-3.99059067422966,6.59089449217158e-05,0.00912024493113335
"THSD7A",585.710169423264,-1.02288705866741,0.256404368680251,-3.98935113287015,6.62542843193555e-05,0.00912024493113335
"GJB4",56.6129039762365,-1.01928398959408,0.255774792422312,-3.98508383074407,6.74563066494079e-05,0.00923264832495211
"NPM1P50",30.0160954906414,1.51248003772378,0.381411564721957,3.96548027804652,7.3248308906385e-05,0.00996842894844167
"POU2F2",483.238413010957,0.93417648918945,0.235826568770007,3.96128601650698,7.45471715764218e-05,0.0100878748790873
"TTLL6",92.0122972781694,-1.86199451150191,0.470408627448684,-3.95824906868876,7.55012046649569e-05,0.0101595778322194
"GBP3",3784.81102144701,0.779075447561236,0.196974039129919,3.95521892632449,7.64645986512665e-05,0.0102317322172913
"OR2T33",25.791141857403,-1.36360941033951,0.344921101165534,-3.95339515538974,7.70500338188169e-05,0.0102527911668239
"RFX5",3258.55992547625,0.388674755158131,0.098391343778066,3.95029420509629,7.80551872575786e-05,0.0103291593657101
"MYH2",1779.00043721283,2.06983534578875,0.524474502255493,3.94649375114989,7.93039905448451e-05,0.0104050868953234
"SFN",250.890886747757,-1.93343504005731,0.489984692694096,-3.94590906386617,7.94977831431269e-05,0.0104050868953234
"CERS3",66.5787098961464,-1.78571707665771,0.45272862787489,-3.94434318200702,8.0018996662524e-05,0.0104163859133738
"DNASE1L3",341.106118092883,1.37512511175099,0.349168301912216,3.93828736520506,8.2065274301367e-05,0.0106128267719684
"STRA6",1347.17244321089,-1.5138681519437,0.384497017587898,-3.93726890637746,8.2414235954664e-05,0.0106128267719684
"IGHV4-55",81.4399834554407,1.87990676121805,0.477685497449101,3.93544868173093,8.30414079728739e-05,0.0106364053677341
"WFDC12",22.024730146618,-1.5280290855999,0.38866851562463,-3.93144549705603,8.44366400991929e-05,0.0107575872534887
"LAMC1",19496.4541590199,-0.591441414270762,0.150536784639011,-3.92888300151386,8.53413453938715e-05,0.0107756494860614
"TRAJ3",23.4648953222321,1.49872297496124,0.381500284259309,3.92849766251431,8.54781814609077e-05,0.0107756494860614
"RCOR2",111.330398416295,-0.986066244146114,0.25140171349219,-3.92227336261472,8.7717389936399e-05,0.0109176990643327
"TRAJ10",48.8207487771831,1.36923415203707,0.349106941670527,3.92210520216267,8.77786481631776e-05,0.0109176990643327
"FAM84A",122.367905482121,-1.09902802936251,0.280251767282295,-3.92157394766925,8.79724415253927e-05,0.0109176990643327
"DNM1P51",124.543352476317,-1.23588149666094,0.315266988176888,-3.92011070936333,8.85083000621704e-05,0.0109275814592222
"PTTG2",13.668659220378,1.17325191130992,0.299610267150424,3.91592692222683,9.00575261720951e-05,0.011024454042212
"CR2",490.311748670766,1.59470592404422,0.40727928206465,3.915509563757,9.02134682812942e-05,0.011024454042212
"NOS1",59.3767562921538,-1.24465271199085,0.318050428316549,-3.91338165642107,9.10125144408665e-05,0.0110656433801403
"GPC5",38.6581195622408,-1.70730057302275,0.436424203783188,-3.91202082337058,9.15270176859166e-05,0.0110719955940054
"APOB",45.6065968555755,1.49098536474817,0.381358816689996,3.90966538466102,9.24240596255317e-05,0.0110982116929168
"CLDN14",80.7066239101218,1.30337927703811,0.333428464047871,3.90902222688157,9.26704383176089e-05,0.0110982116929168
"RIPPLY1",3.07869310467125,1.6379886134708,0.419242835081991,3.90701635521203,9.34428308810623e-05,0.0111350382351403
"GJB3",99.3085978839992,-1.94596369690705,0.498474074729424,-3.90384133410214,9.46778629834041e-05,0.0112263572979133
"TMEM200B",185.590076718994,-0.943668966972797,0.242166806630125,-3.8967725598088,9.74830872084311e-05,0.0115020438660904
"PROM2",167.826096022777,-1.24442236888392,0.319491529998324,-3.89500895028564,9.81951038110558e-05,0.0115292604239334
"IDO1",990.741573983407,1.34502583454862,0.345430276874786,3.89376937863549,9.86984874125433e-05,0.0115318349780743
"IL21R",295.25433719838,0.999680083092452,0.256878095257596,3.89165172721317,9.95640950924328e-05,0.0115765009983202
"TCHH",226.302253079234,1.24157154855113,0.319353142005737,3.88776994881994,0.000101169443795288,0.0116517804633896
"ATF5",1141.70910120105,0.650772718218343,0.167391270869854,3.88773389936394,0.000101184466281941,0.0116517804633896
"RARRES3",1018.48184353745,0.970962400259187,0.249840710864472,3.88632579894432,0.000101772898311799,0.0116634663175321
"OR2I1P",699.085808568986,1.27260195142713,0.327673909288722,3.88374513610056,0.000102859726817602,0.011731886555882
"FAM197Y3",3.72677299411671,1.6188292591041,0.417106758646426,3.88109093306818,0.000103988947341844,0.0117826538608037
"PLCXD2",148.810486246664,0.966730911321191,0.249132347252001,3.88039097284837,0.000104288686476719,0.0117826538608037
"NMU",101.819452560968,-1.66853377570923,0.43021605779507,-3.87836238438134,0.000105161987334632,0.011825539533517
"ZNF425",92.6675261509168,-0.626716252798366,0.161745546410834,-3.87470484786335,0.000106754009714538,0.0119484674798252
"NLRC3",460.220277583657,0.87879945807979,0.227011407357157,3.87116871487069,0.000108314789125892,0.0120524913268214
"EXOC3",3315.57942434,-0.650925307103,0.168183575721513,-3.87032624505994,0.000108689801544481,0.0120524913268214
"SLC26A10",99.4626717053582,-0.904006577473744,0.234170892827169,-3.86045663728562,0.000113175324661418,0.0124920524253008
"PRR27",4.15626246267143,-1.2898599755952,0.334480774992212,-3.85630527083426,0.000115113718380828,0.0126305076514308
"DCSTAMP",261.559150143724,-1.51523769552574,0.393004855587605,-3.85551901963201,0.000115484351021349,0.0126305076514308
"GFI1",157.087198944972,0.97916824076904,0.254670114010916,3.84484942244566,0.000120626486939199,0.0131329346143986
"IGKV5-2",43.7035161666934,2.16833996661866,0.564528017732548,3.84097847849588,0.000122544859302093,0.0132814229411934
"MYO7B",162.304554589538,1.1181529739603,0.291597672967707,3.83457440719744,0.000125781892730557,0.0133805700497713
"HASPIN",189.83474744437,0.585551929734559,0.152704212108385,3.83454995543247,0.000125794405288379,0.0133805700497713
"TRIM69",404.330179100961,0.549323183746295,0.143276812821131,3.83399918612146,0.000126076558268244,0.0133805700497713
"GJB5",30.8359005840101,-1.73818143877866,0.453471349311698,-3.83305679932584,0.000126560716509974,0.0133805700497713
"TUBA8",383.933937491494,1.08644263664986,0.283530860949514,3.83183203765363,0.000127192566003217,0.0133805700497713
"IGHV1-3",276.583452063602,1.83532275906311,0.478981388623249,3.83172040220276,0.000127250305883061,0.0133805700497713
"ACP7",49.1208165480518,-1.28981678770022,0.336635924958025,-3.8314888342979,0.000127370155784396,0.0133805700497713
"NRAP",97.0982847466867,2.04436833635166,0.534060198004761,3.82797359546616,0.000129202613066531,0.0134966622833461
"KLK7",123.603597560869,-2.19595490762835,0.573947922666087,-3.8260525404949,0.000130214509283055,0.0134966622833461
"HNF1A",11.9395277191866,1.27960536880587,0.334506216023188,3.82535602482546,0.000130583233086328,0.0134966622833461
"STX1A",280.617898240601,-0.754358130859018,0.197237610740315,-3.82461604573082,0.000130976043500034,0.0134966622833461
"GPSM1",796.090484503036,-0.61406515868512,0.160599906217934,-3.8235710913295,0.000131532643731017,0.0134966622833461
"KLKP1",4.2474125478642,-1.5168062558878,0.396761678294905,-3.82296562109103,0.000131856169601828,0.0134966622833461
